task_id,task_label,external_family,model_id,model_label,condition_label,external_biological_reliability,external_reliability_risk,matched_negative_shift,core_mean_auroc,core_mean_shortcut_score,core_mean_rc_delta,core_mean_ece,core_matched_negative_shift,core_gc_bin_auroc_gap,configuration_label,model_family,external_AUROC,external_AUPRC,external_ECE,external_Brier,worst_GC_bin_AUROC,full_GenomeCF_profile_score,predicted_external_reliability,external_metric,source_file
mpra_bcl11a_enhancer,MPRA variant effect (BCL11A enhancer),Variant effect,dnabert2,DNABERT-2,Matched-negative head,0.6181818181818182,0.4772727272727273,,0.8637522990613481,0.6885964912280701,0.0840472685721405,0.0925285787285418,0.0141730714848569,0.0912554010604467,DNABERT-2 | Matched-negative head,foundation model,0.5074615839243499,0.082927104976,0.4226069202155358,0.2508537097931265,0.4891304347826086,-0.20807413686579368,0.7716861700945239,external_biological_reliability,results/release/external_transfer_prediction.csv
mpra_bcl11a_enhancer,MPRA variant effect (BCL11A enhancer),Variant effect,dnabert2,DNABERT-2,Standard,0.7090909090909091,0.4034090909090908,,0.79375,0.6372207227470386,0.0806979403719271,0.0288679478520667,0.0129999514080891,0.0912554010604467,DNABERT-2 | Standard,foundation model,0.5404107565011821,0.1245153178050686,0.0515596537166855,0.0749006005347617,0.3400621118012422,-0.23817350725074993,0.7415867997095676,external_biological_reliability,results/release/external_transfer_prediction.csv
mpra_bcl11a_enhancer,MPRA variant effect (BCL11A enhancer),Variant effect,dnabert2,DNABERT-2,Temperature-scaled,0.7090909090909091,0.5284090909090908,,0.8732950269749769,0.5789473684210527,0.0774539567818146,0.019902367608167,0.0332784659097183,0.0912554010604467,DNABERT-2 | Temperature-scaled,foundation model,0.5404107565011821,0.1245153178050686,0.0414891879629499,0.0739643342539681,0.3400621118012422,-0.23645658271919567,0.7433037242411219,external_biological_reliability,results/release/external_transfer_prediction.csv
mpra_bcl11a_enhancer,MPRA variant effect (BCL11A enhancer),Variant effect,kmer_logistic_regression,6-mer logistic regression,Standard,0.4272727272727273,0.4659090909090909,,0.7462655,0.6459551656920078,0.3394389041207518,0.2345065281072556,-0.0068479613695805,0.083379100691961,6-mer logistic regression | Standard,k-mer baseline,0.463283096926714,0.0799846805575629,0.0612031184889678,0.092644743297582,0.3307453416149068,-0.27553740471650534,0.7042229022438122,external_biological_reliability,results/release/external_transfer_prediction.csv
mpra_bcl11a_enhancer,MPRA variant effect (BCL11A enhancer),Variant effect,small_cnn,CNN,Standard,0.5454545454545454,0.5965909090909091,,0.76882725,0.4509484180536812,0.0411793540697544,0.061206236347556,0.0083796891723006,0.1201250804749815,CNN | Standard,CNN,0.4341755319148936,0.0974173776642358,0.0394586296934707,0.0738373449603956,0.3685758513931888,-0.5181043538242232,0.4616559531360944,external_biological_reliability,results/release/external_transfer_prediction.csv
mpra_bcl11a_enhancer,MPRA variant effect (BCL11A enhancer),Variant effect,small_cnn,CNN,Temperature-scaled,0.9272727272727274,0.471590909090909,,0.81802,0.4429824561403508,0.046799674630165,0.0395739197134971,0.0083796891723006,0.1201250804749815,CNN | Temperature-scaled,CNN,0.5825206855791961,0.1666166501555553,0.041656116936721,0.0739941490574745,0.5394736842105263,-0.46770259110976964,0.5120577158505479,external_biological_reliability,results/release/external_transfer_prediction.csv
mpra_bcl11a_enhancer,MPRA variant effect (BCL11A enhancer),Variant effect,small_cnn_rc_aug,RC-aug CNN,Standard,0.3545454545454545,0.7670454545454545,,0.8039419999999999,0.3773429299745089,0.038917607627809,0.0517154488125815,0.0240417894564205,0.1179073009657394,RC-aug CNN | Standard,CNN,0.4408983451536643,0.072589901098363,0.0359660116773025,0.0735817081681177,0.4308049535603715,-0.5179486790078768,0.4618116279524408,external_biological_reliability,results/release/external_transfer_prediction.csv
mpra_bcl11a_enhancer,MPRA variant effect (BCL11A enhancer),Variant effect,small_cnn_rc_aug,RC-aug CNN,Temperature-scaled,0.3545454545454545,0.6761363636363635,,0.8310545,0.4780701754385965,0.0636706836521625,0.0252490000892429,0.0240417894564205,0.1179073009657394,RC-aug CNN | Temperature-scaled,CNN,0.4408983451536643,0.072589901098363,0.0412466032247917,0.073989552495959,0.4308049535603715,-0.4889545035825943,0.4908058033777233,external_biological_reliability,results/release/external_transfer_prediction.csv
mpra_f9_promoter,MPRA variant effect (F9 promoter),Variant effect,caduceus_ph,Caduceus-Ph,Matched-negative head,0.7636363636363636,0.6136363636363638,,0.8194124252604111,0.6885964912280701,0.0422797515022792,0.114775501007667,0.0585016480260885,0.1078033622448245,Caduceus-Ph | Matched-negative head,foundation model,0.5464788732394366,0.5498680651321335,0.036864647934889,0.249984816457615,0.5206698063840921,-0.5585247244465049,0.42123558251381266,external_biological_reliability,results/release/external_transfer_prediction.csv
mpra_f9_promoter,MPRA variant effect (F9 promoter),Variant effect,caduceus_ph,Caduceus-Ph,Standard,0.7,0.8238636363636364,,0.7416918124042852,0.6424501424501425,0.0348315164735973,0.0396484782153252,0.0682948139121478,0.1078033622448245,Caduceus-Ph | Standard,foundation model,0.5785482123510293,0.5351666898449856,0.0029298106436438,0.2494973385736689,0.5332167832167832,-0.6286426592394324,0.35111764772088516,external_biological_reliability,results/release/external_transfer_prediction.csv
