dataset,split_scheme,model_family,seed,auroc,accuracy,ece,brier,auroc_ci_low,auroc_ci_high,reverse_complement_mean_abs_delta,reverse_complement_flip_rate,reverse_complement_positive_prob_drop,reverse_complement_ece,reverse_complement_brier,reverse_complement_mean_abs_delta_ci_low,reverse_complement_mean_abs_delta_ci_high,mono_shuffle_mean_abs_delta,mono_shuffle_flip_rate,mono_shuffle_positive_prob_drop,mono_shuffle_ece,mono_shuffle_brier,mono_shuffle_mean_abs_delta_ci_low,mono_shuffle_mean_abs_delta_ci_high,dinuc_shuffle_mean_abs_delta,dinuc_shuffle_flip_rate,dinuc_shuffle_positive_prob_drop,dinuc_shuffle_ece,dinuc_shuffle_brier,dinuc_shuffle_mean_abs_delta_ci_low,dinuc_shuffle_mean_abs_delta_ci_high
human_nontata_promoters,official,small_cnn,23,0.830003,0.77,0.055949070267379275,0.16447054645822434,0.811302017750861,0.8460042821202002,0.05585286021232605,0.0745,0.007703840732574463,0.051624457269907,0.17038115311757435,0.05250707753002644,0.05903249308466912,0.10829637199640274,0.1465,0.010505378246307373,0.10047840932756663,0.2110516817536116,0.1019070390611887,0.11397022288292646,0.07600457966327667,0.0985,0.0416637659072876,0.034746922276914116,0.17260725024490664,0.0701004832983017,0.0806532884016633
human_nontata_promoters,official,small_cnn,37,0.8635649999999999,0.793,0.08739086467027664,0.15315859881156144,0.8470820759160652,0.8774169029180778,0.05396636947989464,0.0495,0.006936073303222656,0.08591623060032726,0.1617021443175368,0.050765568669885394,0.056932555977255106,0.19416363537311554,0.2495,-0.05779379606246948,0.08928845274448396,0.21074114244322842,0.18607286587357522,0.20235275626182558,0.07777437567710876,0.079,0.043331801891326904,0.10038447143882515,0.17606516915638207,0.07368984408676625,0.08274066355079412
human_nontata_promoters,official,small_cnn,49,0.8367580000000001,0.777,0.0512306905090809,0.15916237000825492,0.8187412539886207,0.8558384449402974,0.04721103236079216,0.056,0.006741225719451904,0.05847069561481476,0.16550893559808288,0.04525818191468716,0.05030440632253885,0.13144730031490326,0.182,-0.011479198932647705,0.13517506089806558,0.21956433034084696,0.12502199597656727,0.13755293227732182,0.07733908295631409,0.1005,0.047554850578308105,0.03809730336815119,0.17040960980290706,0.0729973478242755,0.08184054978191853
human_nontata_promoters,official,small_cnn,61,0.838899,0.791,0.02611115412414074,0.15583376038909236,0.8173640143405676,0.8567296263063591,0.05227221921086311,0.0685,0.011922717094421387,0.02261607292294502,0.1621736725283696,0.04913123594596982,0.054936337657272814,0.11317084729671478,0.162,0.02646571397781372,0.051985798932611946,0.19841113924304238,0.10850460175424814,0.11883654017001391,0.0775662362575531,0.102,0.05702894926071167,0.05043762497603891,0.1735337265830118,0.07316491156816482,0.0825533203780651
human_nontata_promoters,official,small_cnn_rc_aug,11,0.8544959999999999,0.7805,0.0799975165128708,0.1576149310847026,0.8395295230466145,0.8689664114619188,0.0630815252661705,0.098,-0.0039136409759521484,0.07963841038197278,0.15401470646712295,0.05959973391145468,0.0666270449757576,0.17083747684955597,0.257,-0.024446845054626465,0.18969281125068665,0.25130777218652683,0.16279180012643338,0.17788319215178489,0.08875878155231476,0.13,0.036108314990997314,0.06315874853730201,0.16889420395920537,0.08343052081763744,0.0941066624596715
human_nontata_promoters,official,small_cnn_rc_aug,23,0.8580690000000001,0.785,0.0728000067472458,0.15213432788042816,0.8415790534421763,0.8730867479151793,0.04018397629261017,0.053,0.0009886622428894043,0.07135737435519694,0.15139369522898954,0.03786635147407651,0.04246436078101397,0.16986800730228424,0.2535,-0.02457791566848755,0.18820967871695757,0.24613254116660532,0.16121431663632393,0.1771993339061737,0.08928512781858444,0.115,0.032910048961639404,0.06252161895483734,0.16573078740617808,0.08404670618474483,0.09418717958033085
human_nontata_promoters,official,small_cnn_rc_aug,37,0.865464,0.791,0.07201950966566802,0.14834370223861146,0.8470479660069266,0.8804208793590099,0.03363810107111931,0.042,3.254413604736328e-05,0.07167739839851858,0.14830395881953,0.03152327844873071,0.03581837471574545,0.23921433091163635,0.33,-0.08896946907043457,0.28746540102362633,0.3056255875621058,0.2303584825247526,0.24941457957029342,0.09485384821891785,0.1185,0.021429836750030518,0.07804731453210116,0.17302239544157125,0.09018339924514295,0.10028757248073816
human_nontata_promoters,official,small_cnn_rc_aug,49,0.8566509999999999,0.797,0.05546052797138692,0.1483173579391307,0.8390903245253286,0.873788880574867,0.03044741414487362,0.0335,-0.0001049041748046875,0.05433173678815364,0.1481951320517176,0.02903036386705935,0.03209188347682357,0.1721305102109909,0.2575,-0.037255942821502686,0.18168570291996003,0.24240463640488843,0.16480607651174067,0.17966574057936668,0.07822645455598831,0.0975,0.043071091175079346,0.036464574463665494,0.16235781550452205,0.07468274198472499,0.08309446442872286
human_nontata_promoters,official,small_cnn_rc_aug,61,0.8634720000000001,0.7975,0.060463149141520275,0.14774311510058105,0.8464229191259873,0.8772615902039338,0.03890729695558548,0.0355,-0.0012666583061218262,0.05969551666826009,0.1457613190522146,0.036700806114822626,0.04117636317387223,0.17603500187397003,0.2185,0.000948488712310791,0.09037107177078721,0.2110887925988467,0.16794062145054342,0.18380489237606526,0.08482272177934647,0.0875,0.055927276611328125,0.08369252069294453,0.17041073484694072,0.07962310165166855,0.09016429875046014
human_enhancers_cohn,official,small_cnn,11,0.7522255,0.684,0.0358702639490366,0.20231690612263742,0.7331493665255978,0.7699496825791828,0.031228233128786087,0.06,0.002115309238433838,0.025899808943271634,0.20294827390716608,0.03008525539189577,0.0322267971932888,0.07557502388954163,0.152,0.008364737033843994,0.017340884760022168,0.20961656373538778,0.07241323906928301,0.07805712949484588,0.0704205185174942,0.146,0.002044677734375,0.019454872757196418,0.20654196074063094,0.06769550703465939,0.07341209333389997
