tier,track,species,task_id,task_label,model_id,model_label,model_family,auroc,auprc,ece,brier,rc_mean_abs_delta,mono_positive_prob_drop,dinuc_positive_prob_drop,gc_only_auroc,gc_only_explainability_ratio,shortcut_score,worst_gc_bin_auroc,gc_bin_auroc_gap,matched_negative_gc_only_auroc_drop
core,short_context,human,human_ocr_ensembl,Open chromatin,gc_only,GC-only logistic regression,diagnostic_logistic_regression,0.5666297080033011,0.5275592777162312,0.0191687374430995,0.2479146943422844,0.0,0.0,0.0,0.5666297080033011,1.0,0.5092592592592592,,,
core,short_context,human,human_ocr_ensembl,Open chromatin,kmer_logistic_regression,6-mer logistic regression,classical,0.650458,,0.2963202469797955,0.3305716614378323,0.3800095436071972,0.22693885716273,0.0620904300322382,0.5666297080033011,0.8711242047961608,0.5925925925925927,0.669683995244412,0.0149534150796118,
core,short_context,human,human_ocr_ensembl,Open chromatin,length_only,Length-only logistic regression,diagnostic_logistic_regression,0.5,0.5,0.0020427050422141,0.2500062561995156,0.0,0.0,0.0,0.5666297080033011,1.1332594160066023,0.5462962962962963,,,
core,short_context,human,human_ocr_ensembl,Open chromatin,repeat_only,Repeat-only logistic regression,diagnostic_logistic_regression,0.5789617056352364,0.5658013712827662,0.0295090114307996,0.2473640734444867,0.0,0.0,0.0,0.5666297080033011,0.9786998043015565,0.4907407407407407,,,
core,short_context,human,human_ocr_ensembl,Open chromatin,small_cnn,CNN,cnn,0.640304,,0.0630083151757717,0.242803743933832,0.0132225817069411,0.0030643939971923,-0.0104559659957885,0.5666297080033011,0.8849385729330149,0.5925925925925926,0.6634095979509551,0.0342912829737238,
core,short_context,human,human_ocr_ensembl,Open chromatin,small_cnn_rc_aug,RC-aug CNN,cnn,0.7036005000000001,,0.051936047360301,0.2220495119774068,0.0560485534369945,0.0610595345497131,0.0084955692291259,0.5666297080033011,0.8053287455072887,0.3703703703703704,0.7074079211080992,0.0519206265116971,
external,short_context,human,gue_emp_h3k14ac,External histone mark (H3K14ac),caduceus_ph,Caduceus-Ph,foundation_model,0.59065,0.6128163286580621,0.0450469322740086,0.2447513329509977,0.0100151776699117,0.0003488704416635,0.0033608490601386,,,0.3666666666666666,,,
external,short_context,human,gue_emp_h3k14ac,External histone mark (H3K14ac),dnabert2,DNABERT-2,foundation_model,0.7553000000000001,0.7559027517656054,0.0365979977508782,0.2016521700717893,0.0783211018652375,-0.0966405196852097,-0.067409912833554,,,0.8,,,
external,short_context,human,gue_emp_h3k14ac,External histone mark (H3K14ac),kmer_logistic_regression,6-mer logistic regression,classical,0.6651500000000001,0.6783146591585342,0.2371319418892744,0.2937848470713167,0.3566144615732532,0.0013182021239704,0.0926191589915126,,,0.6666666666666667,,,
external,short_context,human,gue_emp_h3k14ac,External histone mark (H3K14ac),small_cnn,CNN,cnn,0.62105,0.6185667341268302,0.0330938100814819,0.248571952005345,0.0074218199588358,0.0001610517501831,0.0018898844718933,,,0.3999999999999999,,,
external,short_context,human,gue_emp_h3k14ac,External histone mark (H3K14ac),small_cnn_rc_aug,RC-aug CNN,cnn,0.63365,0.6380531053238652,0.0232560534775257,0.2392265828642209,0.0688618123531341,0.04995658993721,0.0392644703388214,,,0.4666666666666667,,,
external,short_context,human,gue_emp_h3k4me3,External histone mark (H3K4me3),caduceus_ph,Caduceus-Ph,foundation_model,0.577325,0.5555876300851736,0.0279391025717676,0.2459369134913639,0.0334548372507922,0.0012445826084448,0.0039117831226598,,,0.4666666666666667,,,
external,short_context,human,gue_emp_h3k4me3,External histone mark (H3K4me3),dnabert2,DNABERT-2,foundation_model,0.647775,0.643134679144981,0.0460268564716552,0.2335025489867994,0.078536073030834,-0.044648525506843,-0.0240503986378878,,,0.8666666666666668,,,
external,short_context,human,gue_emp_h3k4me3,External histone mark (H3K4me3),kmer_logistic_regression,6-mer logistic regression,classical,0.5857749999999999,0.5980431238553522,0.298733322080385,0.3478580363593544,0.3715689438211123,0.0488123525079724,0.1366710537024903,,,0.5999999999999999,,,
external,short_context,human,gue_emp_h3k4me3,External histone mark (H3K4me3),small_cnn,CNN,cnn,0.5941000000000001,0.5740365843769899,0.020673930644989,0.249407649618683,0.0055570607073605,0.0018357634544372,0.001642107963562,,,0.35,,,
external,short_context,human,gue_emp_h3k4me3,External histone mark (H3K4me3),small_cnn_rc_aug,RC-aug CNN,cnn,0.594675,0.5954645059228609,0.0154970288276672,0.2499793447889805,0.001437256578356,0.0009005665779113,0.0007136464118957,,,0.45,,,
external,short_context,human,gue_human_tf_0,External TF binding (human_tf_0),caduceus_ph,Caduceus-Ph,foundation_model,0.75815,0.7045996483309134,0.155375205106328,0.2316449329978136,0.0291979761862966,-0.0109997008333534,-0.0001899287195222,,,0.4777777777777777,,,
external,short_context,human,gue_human_tf_0,External TF binding (human_tf_0),dnabert2,DNABERT-2,foundation_model,0.845525,0.8441467553330677,0.061062190267374,0.1654550490188756,0.1096577582186986,0.0057723267627691,0.0016810733537286,,,0.5444444444444444,,,
external,short_context,human,gue_human_tf_0,External TF binding (human_tf_0),kmer_logistic_regression,6-mer logistic regression,classical,0.7819250000000001,0.7421174211807912,0.1512009370929217,0.2134851056258912,0.249767146326538,0.0540944486334424,-0.0023188501099908,,,0.8222222222222222,,,
external,short_context,human,gue_human_tf_0,External TF binding (human_tf_0),small_cnn,CNN,cnn,0.7282,0.6893676159750408,0.1426299969479441,0.2292635236613008,0.0785536989569664,-0.0125865936279296,0.0125323832035064,,,0.4888888888888889,,,
external,short_context,human,gue_human_tf_0,External TF binding (human_tf_0),small_cnn_rc_aug,RC-aug CNN,cnn,0.8104250000000001,0.7621613684542242,0.1844242369756102,0.2262894821605873,0.0594322010874748,0.0165351629257202,0.0185494422912597,,,0.3111111111111111,,,
external,short_context,human,gue_human_tf_1,External TF binding (human_tf_1),caduceus_ph,Caduceus-Ph,foundation_model,0.8017000000000001,0.783544214154831,0.1880896808283954,0.2200638725756904,0.04624008267756,-0.0066475359248275,0.0002512459520951,,,0.6333333333333333,,,
external,short_context,human,gue_human_tf_1,External TF binding (human_tf_1),dnabert2,DNABERT-2,foundation_model,0.92325,0.9056681772924104,0.1191953162287933,0.1257484731951383,0.1238477631549811,0.0695191070189242,0.0139868190326352,,,0.6,,,
external,short_context,human,gue_human_tf_1,External TF binding (human_tf_1),kmer_logistic_regression,6-mer logistic regression,classical,0.863125,0.8316295898490847,0.0971983883087984,0.156750581986942,0.2241050972486364,0.1473129876567633,0.0738002941214156,,,0.6333333333333333,,,
